task_type,sleep_hours,energy_level,day_of_week,hour_of_day,description_len,minutes
programming,8.6,8,1,19,12,101
planning,7.5,8,1,18,55,40
meeting,7.1,1,3,9,99,65
meeting,8.4,1,1,13,88,76
programming,7.1,4,3,16,136,124
meeting,10.0,2,2,14,62,73
programming,4.8,1,2,16,157,160
admin,6.2,9,5,16,196,54
meeting,6.8,3,5,9,30,53
creative,7.7,1,0,13,99,100
creative,8.9,2,1,13,122,93
meeting,7.0,8,6,10,60,55
programming,4.9,5,5,16,162,135
programming,8.3,7,0,15,77,96
programming,8.1,6,4,7,125,120
programming,4.1,1,5,7,147,177
programming,7.0,6,0,11,92,110
programming,4.6,7,3,19,104,139
planning,6.0,4,3,9,146,62
admin,5.6,8,0,16,38,34
programming,8.2,8,2,19,174,122
admin,7.2,7,4,15,119,47
programming,5.1,2,0,11,80,126
meeting,8.3,6,5,13,47,58
admin,4.8,6,2,7,136,57
meeting,7.5,7,0,8,81,51
meeting,5.8,6,1,21,68,87
planning,6.5,2,5,17,194,73
creative,7.8,8,5,18,197,108
admin,7.8,4,3,10,37,36
admin,9.0,9,1,21,165,46
admin,6.9,8,1,15,55,32
programming,7.5,3,5,11,80,90
meeting,6.3,3,4,11,192,81
programming,7.3,8,6,15,47,107
meeting,7.7,2,2,14,126,83
meeting,6.9,9,3,8,117,71
programming,4.3,4,1,13,155,154
planning,7.5,6,3,7,104,44
planning,7.5,3,5,16,72,47
admin,6.0,3,2,17,112,41
meeting,5.1,3,0,17,14,66
creative,9.2,10,1,21,181,119
programming,7.7,2,2,15,166,135
creative,6.7,8,6,9,116,68
programming,5.3,9,3,19,151,138
creative,5.8,8,5,8,67,88
programming,9.0,10,2,10,181,104
creative,7.2,3,0,10,155,100
planning,6.2,7,2,9,16,28
programming,7.8,10,5,8,96,103
meeting,5.8,2,3,11,106,58
planning,9.3,4,1,10,199,66
meeting,9.0,6,6,11,54,64
creative,6.3,5,6,19,25,76
admin,6.1,9,1,18,73,30
meeting,3.1,10,4,18,46,75
programming,4.8,4,3,14,162,154
programming,5.0,5,6,17,18,124
creative,7.2,4,4,21,192,108
meeting,6.5,8,4,8,165,92
meeting,5.0,8,5,15,146,84
meeting,6.6,3,5,16,149,96
admin,7.8,1,5,7,155,54
creative,7.8,6,0,14,99,83
planning,4.2,2,3,18,193,72
meeting,6.8,2,1,11,83,73
creative,4.9,3,3,8,195,109
creative,8.4,8,5,14,134,86
admin,8.2,3,0,11,60,27
planning,5.7,7,3,16,41,42
programming,5.9,10,3,21,97,158
programming,6.3,10,4,20,185,158
creative,3.6,9,3,16,145,116
meeting,7.5,8,4,19,167,74
creative,6.6,1,4,20,35,107
creative,8.5,7,2,9,161,99
programming,5.4,7,5,13,164,140
creative,6.1,8,6,10,176,92
meeting,4.7,10,0,17,75,71
meeting,5.5,5,4,17,188,85
admin,5.2,10,3,16,82,31
planning,8.5,9,4,18,59,57
programming,6.0,9,4,21,54,137
meeting,7.2,8,4,12,96,53
admin,6.4,6,1,16,42,29
admin,5.1,6,6,14,28,33
admin,6.7,1,6,7,150,52
programming,7.9,6,1,8,122,112
programming,5.2,4,1,20,31,149
meeting,8.2,4,1,19,157,79
creative,5.7,2,6,14,106,107
programming,6.3,4,2,21,14,135
programming,7.8,5,4,13,135,136
planning,6.0,5,2,16,87,59
programming,7.1,5,3,15,169,127
planning,6.5,4,6,8,39,32
admin,7.2,1,5,14,100,44
creative,3.4,10,6,12,163,118
programming,4.3,8,0,21,91,169
programming,7.9,3,2,7,97,102
admin,8.6,2,1,10,141,47
creative,5.6,9,1,20,114,106
admin,6.6,7,3,21,76,53
programming,7.4,9,4,8,127,118
creative,8.0,2,0,13,180,83
creative,4.0,9,2,15,39,89
admin,5.7,10,4,12,120,30
creative,6.5,9,4,10,153,90
creative,8.1,9,5,11,48,82
admin,10.0,10,5,17,95,48
programming,6.7,10,2,7,50,111
meeting,4.9,4,2,19,40,61
programming,7.6,10,2,10,186,125
meeting,9.0,3,2,19,150,82
meeting,7.2,6,1,16,178,78
programming,5.6,3,6,9,165,129
programming,8.4,9,6,15,136,107
programming,8.0,3,4,12,73,115
creative,5.5,2,6,21,126,123
planning,7.6,8,4,10,28,34
programming,8.5,6,1,9,120,108
planning,8.8,8,6,18,123,49
meeting,6.9,7,4,21,34,72
programming,6.5,3,2,19,175,152
programming,8.8,8,0,10,130,106
meeting,5.2,10,6,14,108,80
creative,7.7,1,5,18,99,95
admin,4.9,1,5,11,12,29
programming,8.6,10,4,19,139,122
programming,6.6,8,0,21,14,140
meeting,8.9,9,5,17,198,87
programming,7.7,10,6,7,29,96
programming,5.2,6,0,11,47,104
programming,9.1,5,1,14,110,109
creative,9.3,2,3,17,137,101
planning,8.3,9,4,21,111,53
meeting,5.9,6,1,18,45,53
planning,6.5,8,1,10,183,66
programming,7.2,9,0,20,108,139
meeting,5.9,9,4,8,122,86
programming,9.5,8,1,19,46,80
admin,7.2,10,2,21,63,40
planning,3.0,8,1,9,158,62
admin,7.5,3,2,20,158,64
meeting,6.5,3,3,17,101,71
admin,6.9,2,2,15,79,35
programming,6.4,1,2,20,93,176
creative,8.2,4,0,13,197,109
meeting,8.7,2,1,9,173,76
meeting,7.4,2,3,11,20,51
admin,6.5,5,1,9,97,47
admin,6.9,4,6,16,96,49
programming,7.0,1,6,10,40,118
admin,5.8,9,2,18,110,40
programming,7.9,4,5,14,174,122
admin,7.7,5,2,20,69,51
creative,9.3,7,1,9,70,70
creative,8.9,2,3,9,76,68
admin,6.0,8,5,17,166,52
meeting,8.2,2,3,17,88,68
programming,5.6,10,0,14,80,121
creative,8.0,5,2,16,76,71
programming,6.2,2,2,19,137,153
meeting,5.5,2,6,16,120,88
programming,7.4,4,0,13,25,121
programming,3.0,4,6,13,54,152
admin,4.4,8,1,16,43,35
programming,6.7,6,2,8,53,120
admin,7.1,10,1,18,126,47
programming,6.4,8,3,13,134,145
programming,4.6,7,5,16,112,132
meeting,5.8,10,5,17,129,80
programming,7.6,4,5,16,179,125
programming,7.9,2,6,9,44,97
admin,7.0,9,4,20,135,49
programming,8.7,2,0,13,84,129
creative,7.6,1,5,19,93,93
programming,5.9,8,2,10,167,103
programming,6.6,10,0,19,62,112
admin,4.9,9,3,14,67,29
programming,6.8,1,3,14,165,144
programming,8.7,7,6,12,152,127
meeting,8.0,2,3,19,175,73
programming,9.1,6,3,18,59,91
creative,6.5,5,4,9,150,73
programming,9.0,1,1,12,120,127
creative,6.7,2,1,12,172,94
creative,9.2,2,5,9,120,69
meeting,7.0,10,4,17,161,76
planning,8.1,10,6,10,129,52
meeting,9.2,6,1,21,74,62
planning,6.7,1,6,8,115,63
programming,7.3,4,6,21,100,143
admin,8.9,10,3,7,155,52
meeting,6.8,5,1,8,195,76
meeting,5.0,2,0,13,35,86
admin,10.0,2,5,16,166,44
admin,6.3,7,1,11,81,30
programming,7.2,7,0,15,53,109
programming,8.7,6,2,9,99,98
admin,6.1,1,0,8,142,60
admin,5.5,3,0,21,170,61
planning,7.4,9,3,10,133,42
creative,4.3,10,3,8,14,68
planning,6.6,1,5,17,136,79
admin,7.4,2,3,13,122,44
programming,6.6,8,0,16,120,120
programming,4.7,7,4,12,173,159
creative,9.4,9,3,14,86,72
admin,7.2,10,3,19,22,26
programming,9.1,4,0,11,162,104
meeting,6.6,4,2,8,67,54
planning,5.7,7,2,19,139,76
meeting,7.4,1,1,10,97,82
meeting,6.7,10,5,7,45,66
meeting,5.2,9,2,8,34,69
programming,9.2,2,3,10,43,105
meeting,6.1,1,4,12,149,83
meeting,4.2,7,1,10,28,59
programming,9.0,6,5,10,123,97
creative,6.2,3,4,20,115,94
meeting,6.1,1,4,17,46,79
creative,4.4,5,3,16,116,103
creative,9.6,10,0,16,138,74
programming,5.1,4,0,8,69,126
admin,7.1,5,0,15,76,44
meeting,8.4,1,2,18,186,89
creative,7.6,1,0,16,88,76
programming,6.9,5,5,14,183,121
admin,4.4,6,3,14,120,62
admin,5.8,5,2,11,57,32
programming,7.3,2,5,9,156,133
programming,5.8,9,0,12,97,138
admin,7.3,5,5,20,49,32
admin,8.0,5,4,15,143,49
programming,8.4,10,3,14,105,93
admin,5.2,9,3,13,172,51
meeting,10.0,3,5,20,70,79
admin,8.2,5,1,17,14,21
programming,7.0,5,3,21,46,133
creative,8.6,2,4,14,148,103
programming,10.0,4,3,10,115,108
meeting,4.8,2,1,12,108,87
programming,6.7,5,3,21,177,158
programming,3.4,10,6,21,17,152
meeting,7.3,2,3,20,96,78
programming,7.5,10,1,11,93,110
creative,6.9,9,6,18,20,75
programming,6.0,10,6,8,80,112
meeting,3.9,6,3,14,195,95
programming,7.6,8,5,9,103,89
programming,9.2,9,2,20,132,132
programming,6.1,8,6,11,185,129
meeting,7.7,5,5,14,150,75
meeting,4.6,5,3,17,115,79
meeting,7.7,6,0,21,197,86
meeting,6.4,1,0,15,58,63
admin,5.9,8,2,19,16,34
programming,5.9,2,6,21,110,185
meeting,6.4,6,3,15,162,84
planning,7.6,9,4,20,160,66
meeting,5.0,3,6,11,60,75
admin,6.4,2,3,8,184,52
programming,6.9,10,0,13,14,109
creative,5.4,5,1,17,22,72
creative,9.7,9,2,17,51,65
meeting,5.7,6,1,13,134,75
planning,6.0,8,4,21,142,68
programming,5.5,8,3,18,160,144
programming,9.7,7,4,19,71,92
creative,7.8,5,1,14,138,81
creative,5.6,2,3,14,83,99
programming,8.7,10,6,11,123,106
programming,7.3,10,5,21,63,116
programming,7.4,5,5,7,125,111
programming,6.5,7,6,19,140,112
creative,5.9,7,4,17,92,81
meeting,7.5,2,5,19,188,84
programming,6.2,7,5,10,139,120
meeting,9.7,6,0,10,58,32
programming,5.1,7,5,21,40,151
programming,9.3,8,0,17,83,101
admin,6.8,4,2,9,126,40
planning,7.4,1,0,14,12,48
creative,8.2,8,0,9,133,87
programming,6.1,8,1,19,172,130
creative,8.3,3,0,11,94,70
creative,3.0,3,0,8,173,121
creative,5.9,5,1,12,73,78
meeting,5.6,3,0,21,169,93
meeting,5.1,5,5,12,27,60
programming,6.7,8,6,14,43,102
programming,7.6,1,0,14,65,124
programming,8.1,2,2,7,76,131
programming,7.4,2,0,11,190,129
meeting,6.0,4,0,8,100,67
admin,7.6,9,2,16,76,32
meeting,7.2,2,6,18,119,78
programming,8.4,9,1,11,176,110
planning,8.2,7,5,16,175,57
planning,7.0,10,6,18,49,28
creative,5.7,8,0,15,156,104
planning,6.0,1,5,10,142,55
meeting,6.2,5,4,14,151,90
planning,6.5,9,5,7,100,49
programming,7.4,4,1,14,58,105
meeting,8.1,2,1,12,73,61
programming,6.9,6,6,14,121,121
programming,7.0,2,0,12,109,124
programming,7.2,3,2,17,194,135
admin,6.2,8,1,9,113,45
creative,5.6,3,2,21,172,121
admin,4.4,2,6,18,14,37
programming,6.0,6,6,21,128,161
creative,7.7,3,4,17,97,90
admin,5.9,1,2,14,176,61
meeting,6.6,3,6,11,136,58
admin,7.7,6,6,18,33,17
programming,7.8,3,6,16,177,122
programming,5.4,9,3,11,116,114
planning,8.5,7,6,21,59,48
programming,8.7,5,6,18,67,93
meeting,5.3,2,2,13,10,63
creative,5.8,9,1,12,180,109
admin,8.8,5,2,15,176,44
programming,6.8,7,2,13,147,119
programming,3.7,9,3,9,11,118
programming,4.9,4,3,17,72,123
admin,6.6,9,0,17,25,29
meeting,5.3,1,1,18,46,84
programming,6.4,6,6,11,25,85
planning,7.0,2,0,15,96,46
meeting,9.2,8,6,17,99,61
programming,6.6,5,6,19,89,117
meeting,8.6,3,3,21,36,63
admin,9.1,2,6,16,120,60
programming,9.2,8,6,20,73,130
programming,7.4,7,2,8,106,107
creative,4.1,9,3,7,169,98
meeting,7.7,8,4,17,146,72
meeting,8.6,4,2,14,20,54
meeting,6.9,2,0,14,79,85
programming,9.6,2,2,8,167,134
programming,8.3,2,4,20,152,155
meeting,7.9,6,3,19,196,73
programming,8.6,7,1,14,57,103
programming,7.5,6,6,11,103,109
creative,3.3,2,5,8,85,96
planning,6.3,4,1,13,69,49
creative,8.8,3,1,13,77,72
creative,5.8,4,6,9,66,66
programming,6.7,5,3,20,73,151
planning,5.4,7,1,7,191,78
programming,9.7,9,4,17,89,101
planning,9.5,2,6,10,96,46
planning,5.7,8,3,8,191,67
admin,7.2,3,1,10,196,47
planning,6.0,9,6,14,176,62
admin,7.9,10,5,8,129,50
programming,7.8,4,0,7,152,119
meeting,8.2,3,3,17,88,69
admin,7.5,10,3,20,165,51
programming,10.0,6,2,21,45,111
admin,5.5,10,6,21,63,51
planning,4.4,9,1,9,154,45
programming,6.4,7,0,16,109,135
creative,4.6,4,6,13,95,105
planning,4.8,3,5,19,31,49
planning,5.5,10,4,18,84,48
planning,5.6,4,3,12,45,43
meeting,5.6,3,4,12,38,68
planning,7.8,3,4,13,192,70
creative,6.2,9,4,14,179,93
programming,6.7,4,2,9,169,123
meeting,8.3,9,6,9,151,69
admin,5.9,10,4,16,27,26
programming,6.6,5,1,19,47,126
admin,7.5,7,1,14,110,39
admin,4.1,5,0,18,43,20
programming,3.4,1,0,19,130,163
admin,7.5,2,5,20,182,68
creative,7.7,5,4,19,96,73
meeting,10.0,6,4,13,169,67
programming,7.2,7,2,16,119,128
programming,8.2,2,6,11,76,106
meeting,6.7,10,4,10,192,73
planning,7.4,9,4,12,52,19
programming,9.5,6,6,15,132,119
admin,3.8,2,4,12,31,36
programming,7.6,2,3,14,96,134
programming,10.0,3,3,7,86,106
creative,7.4,1,2,18,134,96
admin,9.5,9,2,20,105,46
programming,6.1,10,1,12,131,138
meeting,7.0,4,2,20,166,96
programming,7.1,5,5,20,49,124
meeting,3.7,7,1,8,113,91
admin,5.2,1,6,9,182,56
programming,5.4,3,4,12,128,144
programming,8.2,3,2,8,147,131
meeting,8.3,2,5,10,182,91
planning,7.5,8,2,12,129,57
planning,8.2,5,2,11,26,52
programming,6.8,1,1,12,111,138
creative,8.8,2,6,21,139,114
meeting,7.0,1,6,12,154,81
meeting,7.1,6,1,14,117,72
creative,6.6,9,0,15,99,87
planning,8.0,7,1,11,128,58
planning,6.4,5,1,12,175,69
admin,8.5,3,3,12,174,49
meeting,5.3,8,2,12,72,70
creative,5.4,10,1,8,14,70
programming,8.0,4,2,10,34,94
admin,6.9,9,2,7,82,32
meeting,6.3,5,3,20,133,77
admin,8.3,6,2,18,31,17
programming,6.1,5,5,7,102,113
programming,6.7,10,1,7,44,103
planning,9.1,7,2,13,64,35
programming,9.3,7,0,7,137,114
meeting,9.4,1,0,12,29,56
programming,6.6,2,3,8,14,122
programming,8.8,7,5,12,176,125
programming,5.6,8,6,12,72,118
programming,5.6,4,6,18,41,130
creative,3.5,6,1,17,83,89
programming,9.5,10,3,9,177,119
planning,5.7,3,0,21,154,78
admin,6.8,7,5,14,110,39
meeting,5.6,3,1,17,88,84
admin,8.0,7,2,10,169,52
meeting,6.4,8,1,19,32,48
creative,5.0,3,4,13,197,120
programming,7.7,2,1,10,65,108
meeting,4.8,6,2,7,146,91
creative,5.7,4,4,12,115,100
planning,3.8,8,6,11,78,54
creative,4.9,2,5,15,199,119
meeting,7.3,4,3,21,31,66
creative,4.1,2,5,20,41,119
meeting,4.8,2,1,20,184,102
meeting,7.0,2,6,21,11,82
programming,6.2,1,3,15,132,138
admin,10.0,4,1,18,94,40
programming,9.8,2,0,17,189,135
programming,5.7,9,0,19,23,109
creative,7.8,9,2,14,46,74
programming,8.1,7,6,21,36,113
programming,6.1,6,6,13,161,136
programming,4.8,3,5,20,73,173
planning,7.0,7,0,8,79,40
meeting,6.7,1,4,20,163,111
meeting,6.3,9,4,14,191,96
creative,7.7,4,6,9,24,77
creative,5.9,6,6,12,38,75
programming,5.3,6,1,16,83,126
admin,7.2,3,6,13,37,32
creative,7.6,4,3,18,68,83
admin,5.2,10,4,12,82,53
programming,8.4,3,1,11,158,119
creative,4.3,6,3,10,19,76
meeting,6.1,1,6,8,141,79
programming,6.6,8,6,15,71,129
meeting,6.0,8,0,20,141,87
programming,6.2,9,1,13,136,107
programming,9.8,6,3,13,15,74
creative,5.7,1,2,10,89,94
programming,10.0,3,6,20,81,128
meeting,7.7,1,5,11,25,54
meeting,7.1,5,5,12,47,45
programming,7.7,3,6,18,186,137
planning,10.0,2,2,17,198,75
programming,5.5,3,4,18,74,133
programming,5.3,9,5,8,135,128
programming,5.9,8,3,10,92,116
programming,7.0,3,6,21,187,164
programming,4.4,2,6,19,26,136
admin,7.0,5,6,10,122,37
planning,9.5,1,2,18,165,64
programming,7.2,4,4,19,181,148
admin,6.6,8,1,10,149,46
admin,6.1,1,6,13,79,32
creative,8.3,5,1,19,80,67
meeting,5.8,4,3,13,140,79
programming,9.8,6,3,13,58,94
programming,9.9,7,3,13,30,103
admin,7.4,9,5,8,145,36
creative,7.0,1,3,11,73,81
programming,8.5,10,6,16,196,133
meeting,8.6,4,2,8,167,72
planning,5.8,6,2,11,41,42
creative,6.2,10,4,18,29,73
planning,5.0,7,2,12,25,41
creative,7.6,7,5,9,162,88
meeting,8.0,8,1,12,69,43
admin,5.0,10,4,21,182,73
admin,6.3,8,2,11,146,31
programming,5.0,8,3,10,188,141
meeting,5.7,8,2,16,112,77
admin,7.8,8,0,15,70,37
programming,5.9,6,4,17,177,150
creative,6.5,9,6,20,113,114
admin,4.6,3,6,14,70,47
planning,7.3,6,5,18,85,45
programming,6.9,5,2,13,24,99
programming,5.9,8,2,17,190,146
admin,6.7,4,5,21,141,58
programming,7.3,4,1,7,160,131
admin,5.8,10,3,15,164,53
creative,4.8,10,3,15,112,92
programming,9.7,5,1,12,174,110
meeting,6.1,6,1,13,180,90
meeting,6.9,4,0,19,174,81
meeting,8.5,2,5,9,166,73
planning,10.0,2,4,11,166,46
creative,5.1,3,3,13,186,115
admin,7.7,2,1,7,84,28
admin,5.9,1,1,18,188,58
meeting,6.2,8,5,7,187,92
planning,5.9,5,6,11,37,38
admin,5.3,10,4,15,83,38
admin,6.9,1,1,13,142,46
creative,4.8,9,6,7,134,95
programming,8.4,8,0,19,65,114
creative,7.1,4,4,19,73,87
programming,7.6,8,6,21,136,137
programming,6.3,10,0,18,130,125
programming,6.4,7,2,11,98,109
planning,7.4,7,3,21,26,47
creative,5.3,1,1,14,106,107
admin,6.5,6,6,14,64,20
admin,5.7,4,4,18,146,51
admin,5.7,10,0,8,119,44
planning,3.8,10,3,13,25,61
meeting,9.0,10,3,16,153,94
meeting,6.0,2,1,11,22,62
programming,8.7,10,6,15,87,100
creative,8.6,7,3,9,94,75
admin,5.1,9,1,7,82,26
meeting,5.4,5,6,19,128,73
programming,10.0,8,6,10,178,98
creative,9.6,5,2,13,190,99
programming,7.0,7,1,7,77,102
admin,7.4,7,5,8,83,34
planning,6.1,9,0,20,108,62
meeting,7.6,3,5,11,126,67
programming,5.9,1,6,15,146,148
admin,4.0,2,6,20,188,75
creative,5.0,6,3,7,185,98
meeting,7.0,10,3,18,186,96
planning,5.3,10,3,10,155,52
programming,6.9,9,6,18,147,125
meeting,5.4,3,1,20,124,102
admin,5.8,10,4,9,63,37
creative,8.3,2,1,20,88,108
programming,7.4,1,0,11,24,91
creative,7.0,2,1,11,148,85
admin,8.3,3,3,16,177,55
meeting,7.7,7,2,8,127,73
programming,9.2,2,0,11,121,123
creative,6.3,5,5,15,115,85
programming,6.4,2,2,11,114,116
programming,5.0,7,0,21,56,145
programming,6.4,10,0,17,127,143
creative,8.4,8,6,16,135,96
admin,8.9,8,3,8,157,47
creative,8.4,8,6,13,107,90
programming,4.3,10,5,21,159,170
admin,8.6,9,1,12,57,38
admin,4.2,1,6,13,91,37
creative,8.3,1,5,14,25,79
planning,6.4,10,3,16,142,67
programming,8.1,2,3,11,83,103
admin,5.0,6,6,8,30,35
programming,8.8,1,3,13,70,116
meeting,4.8,5,2,13,192,93
programming,6.0,5,5,14,33,107
programming,5.5,4,5,13,32,126
meeting,4.4,5,0,16,96,65
admin,7.1,1,4,13,148,44
programming,9.7,6,1,20,184,156
admin,10.0,7,3,19,11,5
meeting,7.1,8,5,15,62,54
programming,8.7,2,5,14,148,129
creative,7.3,7,0,21,24,86
programming,7.7,6,1,8,149,115
meeting,6.5,9,4,8,131,65
admin,7.3,8,4,13,132,55
programming,7.8,4,3,16,173,136
programming,6.1,9,4,21,101,144
meeting,6.9,1,4,17,32,50
planning,6.9,6,6,19,164,65
admin,8.2,8,1,21,97,44
admin,5.4,4,1,16,151,47
admin,6.9,2,6,9,191,41
programming,9.9,2,3,7,108,121
meeting,8.7,10,5,15,36,58
creative,9.0,1,0,20,30,103
programming,7.0,5,3,21,58,131
programming,7.5,6,2,20,199,148
programming,8.5,4,4,20,53,134
meeting,9.3,4,6,9,53,42
planning,4.1,5,0,7,137,53
programming,5.0,5,5,12,198,146
meeting,9.0,9,5,10,179,84
programming,6.6,8,1,20,32,144
planning,6.0,9,2,7,138,49
programming,5.1,3,5,10,134,128
meeting,6.2,3,2,14,45,84
admin,4.9,1,4,17,64,36
admin,10.0,10,1,13,119,54
meeting,7.0,6,0,21,25,73
programming,6.9,4,1,18,98,130
meeting,7.9,8,4,7,27,47
programming,8.4,2,6,16,47,109
programming,8.4,2,5,18,29,101
meeting,8.6,7,2,15,28,56
programming,6.1,5,6,12,22,95
programming,6.6,1,4,8,26,124
admin,8.2,7,5,9,39,38
planning,6.2,7,3,13,52,48
admin,7.0,10,2,9,57,37
programming,7.6,6,4,19,52,89
programming,8.2,4,0,9,102,94
planning,4.3,8,0,11,123,66
programming,8.1,2,5,9,75,106
programming,6.6,2,5,9,128,116
admin,8.1,2,0,17,62,39
admin,8.2,3,3,11,81,30
admin,9.4,6,1,20,87,61
programming,9.0,1,0,11,171,131
programming,9.0,2,5,18,83,111
planning,9.2,10,5,15,81,52
programming,7.4,2,3,7,22,125
admin,7.0,1,0,20,193,67
admin,8.3,3,3,7,68,28
admin,8.1,10,0,17,41,28
programming,6.5,7,1,20,92,137
programming,7.6,1,4,15,129,133
admin,6.9,7,0,11,63,19
creative,5.7,5,4,10,11,71
planning,8.9,9,0,8,127,44
programming,7.1,2,1,18,46,124
programming,10.0,1,6,15,106,125
planning,4.6,9,5,12,112,60
admin,6.2,8,4,21,123,47
creative,7.0,10,3,15,170,97
programming,8.7,6,0,11,10,84
admin,7.6,5,5,10,137,40
admin,7.5,8,0,13,112,27
admin,5.3,8,3,11,165,54
meeting,5.3,5,1,14,154,86
programming,7.5,7,2,14,66,94
admin,5.0,1,0,19,79,36
programming,6.2,4,6,8,189,139
meeting,7.8,2,3,19,53,44
planning,5.5,10,2,21,184,84
meeting,9.4,3,0,11,150,67
creative,8.8,1,4,16,85,90
programming,4.6,2,5,14,167,153
admin,5.6,1,5,9,94,58
planning,3.6,8,3,13,75,43
programming,5.8,4,4,9,62,105
programming,8.1,3,1,21,27,138
meeting,6.4,1,2,12,37,58
programming,7.7,2,3,8,141,132
admin,4.7,3,6,12,51,42
planning,8.2,3,0,12,135,45
meeting,6.2,6,5,14,126,69
programming,7.0,10,0,11,143,113
meeting,6.9,8,2,20,111,85
admin,5.1,6,4,7,146,44
programming,5.3,2,4,21,157,201
admin,8.5,2,3,14,47,35
admin,7.6,7,3,18,59,37
admin,8.6,1,4,15,69,42
programming,7.5,1,3,7,150,127
admin,7.2,7,4,11,128,41
programming,4.4,9,2,18,108,135
programming,6.6,5,3,12,103,117
creative,7.0,1,4,10,179,103
admin,9.9,5,3,20,77,22
programming,8.0,1,0,17,162,138
programming,9.3,10,5,8,168,118
programming,7.9,9,0,11,149,90
programming,5.9,4,1,20,73,154
programming,7.2,9,4,20,88,126
programming,7.4,2,1,10,198,128
meeting,5.6,7,4,19,62,63
admin,6.4,2,5,13,35,17
admin,6.7,4,3,12,198,45
admin,9.4,6,4,9,147,48
programming,3.9,2,0,15,149,160
planning,8.8,2,3,20,159,69
creative,5.6,2,5,10,190,107
creative,4.9,3,0,21,30,94
creative,8.8,5,3,17,172,88
planning,8.1,9,4,11,80,40
meeting,8.9,6,4,20,91,87
programming,8.2,9,0,9,164,101
admin,10.0,10,2,14,69,39
admin,7.8,5,4,17,108,40
admin,6.8,6,2,13,56,23
meeting,7.5,10,3,17,152,69
programming,8.9,8,2,17,33,103
meeting,5.8,3,0,21,19,82
planning,6.0,2,1,13,129,59
admin,6.5,3,1,14,161,56
meeting,3.8,9,0,13,97,69
programming,7.2,6,6,9,113,103
meeting,4.2,10,1,9,133,72
creative,7.1,4,0,8,194,110
admin,8.3,10,4,19,43,31
creative,6.3,3,2,7,50,79
meeting,9.5,2,1,11,177,73
admin,4.8,4,4,18,20,30
programming,8.8,9,1,10,10,80
admin,8.0,4,3,21,167,54
meeting,4.4,5,0,19,180,87
meeting,10.0,8,0,17,91,72
admin,6.9,2,4,8,35,28
planning,5.7,3,6,7,62,53
programming,4.9,6,3,20,134,184
creative,6.7,7,2,20,184,109
programming,6.8,4,3,9,18,96
meeting,7.2,1,6,19,18,63
programming,6.6,7,3,12,138,125
programming,7.9,9,5,19,181,123
meeting,6.4,1,2,8,68,66
programming,4.1,1,2,16,193,179
meeting,6.8,1,3,21,115,80
planning,3.4,10,1,19,188,89
programming,7.5,7,5,13,134,131
creative,5.5,9,1,17,25,74
meeting,7.2,3,3,13,47,69
admin,9.0,8,1,17,148,44
programming,5.6,9,2,9,162,124
programming,8.6,3,2,20,68,131
programming,6.3,3,1,7,38,125
programming,9.6,1,2,15,177,135
programming,6.5,2,0,17,17,126
admin,5.7,7,2,11,107,40
creative,8.0,3,3,8,143,92
creative,6.3,7,4,21,182,106
admin,5.7,5,1,14,118,45
programming,6.3,10,5,18,190,127
programming,6.9,8,6,16,117,119
programming,9.0,5,1,16,158,134
programming,4.1,3,6,10,66,115
meeting,7.0,9,6,17,85,63
meeting,7.9,7,2,16,122,62
meeting,7.3,5,2,18,15,42
meeting,9.0,7,4,13,133,63
creative,6.9,10,4,20,143,119
creative,6.7,9,5,19,62,91
programming,7.9,5,3,11,141,97
planning,7.1,7,0,19,18,38
planning,6.4,9,3,9,78,36
programming,7.8,1,5,16,83,119
meeting,6.0,4,1,14,120,60
meeting,6.1,1,2,8,96,97
planning,6.2,8,3,7,13,45
creative,9.0,3,6,11,195,88
programming,3.0,2,2,17,46,155
meeting,7.6,4,2,10,80,54
admin,7.1,3,3,17,15,34
meeting,4.5,5,3,16,60,66
programming,7.5,8,6,21,108,135
creative,7.7,10,6,13,187,90
admin,7.9,8,4,21,105,49
creative,3.0,7,5,19,151,129
creative,9.0,8,5,15,20,61
admin,5.9,5,6,12,19,24
meeting,8.0,10,0,17,198,80
admin,8.1,10,6,7,22,26
programming,5.7,6,4,21,130,154
admin,8.0,8,0,14,171,48
programming,6.4,1,3,8,69,135
admin,3.9,6,5,10,188,43
programming,8.8,6,5,9,14,77
programming,5.8,5,0,12,169,120
programming,5.7,4,1,8,21,112
programming,6.4,1,4,11,189,134
admin,7.4,10,4,17,150,53
admin,6.9,8,4,15,94,33
meeting,7.8,6,5,21,191,89
programming,5.0,3,2,9,126,114
programming,5.9,3,5,8,131,147
programming,6.8,6,2,8,191,124
programming,9.8,7,5,21,50,118
creative,6.8,8,3,15,57,82
programming,8.6,5,5,12,60,107
meeting,7.1,10,3,8,184,73
programming,6.3,6,2,9,187,128
programming,6.6,1,4,21,127,163
meeting,6.7,6,2,20,105,83
admin,7.9,9,0,7,85,29
programming,9.1,10,4,8,55,92
programming,7.5,4,5,21,109,142
meeting,8.8,10,5,8,47,48
programming,5.6,1,5,17,101,163
programming,6.4,9,5,8,150,124
planning,5.9,4,5,13,159,56
admin,7.5,2,2,9,139,39
admin,6.5,1,6,19,102,45
meeting,8.1,3,3,21,86,78
meeting,5.6,7,6,20,22,73
meeting,7.1,10,2,17,66,68
admin,8.0,2,1,10,171,38
